variant,group,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown
v25z_band_hi,screen_curated,deepcheck_b12_s8080,5,22,600,-0.00879980341889125,-0.0017998034188912498,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_curated,deepcheck_b12_s8080,5,25,600,-0.009161397597350296,-0.0021613975973502958,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_curated,deepcheck_b12_s8080,17,22,600,-0.009376512555646204,-0.0023765125556462043,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_curated,deepcheck_b12_s8080,17,25,600,-0.009700027820234752,-0.0027000278202347515,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_curated,stress_b14_s7070,5,22,600,-0.008609800175042592,-0.0016098001750425922,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_curated,stress_b14_s7070,5,25,600,-0.00895153190764829,-0.0019515319076482901,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_curated,stress_b14_s7070,17,22,600,-0.008048546650283199,-0.0010485466502831988,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_curated,stress_b14_s7070,17,25,600,-0.008511732432517538,-0.0015117324325175383,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_curated,stress_b30_s10010,5,22,600,-0.007683843602739454,-0.0006838436027394538,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_curated,stress_b30_s10010,5,25,600,-0.008350212393030253,-0.0013502123930302532,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_curated,stress_b30_s10010,17,22,600,-0.007808509028905435,-0.0008085090289054351,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_curated,stress_b30_s10010,17,25,600,-0.008273616010668793,-0.001273616010668793,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_random,worst_rh_b10_p13419,5,22,600,-0.010277013295700426,-0.0032770132957004256,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_random,worst_rh_b10_p13419,5,25,600,-0.010542990857970086,-0.003542990857970086,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_random,worst_rh_b10_p13419,17,22,600,-0.009183994853766775,-0.002183994853766775,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_random,worst_rh_b10_p13419,17,25,600,-0.009574928349607104,-0.0025749283496071034,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_random,worst_rt_b10_p7064,5,22,600,-0.00925630890674634,-0.0022563089067463406,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_random,worst_rt_b10_p7064,5,25,600,-0.009592051969514764,-0.002592051969514764,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_random,worst_rt_b10_p7064,17,22,600,-0.008509435474886728,-0.001509435474886728,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_random,worst_rt_b10_p7064,17,25,600,-0.00889443715121085,-0.001894437151210849,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_random,worst_rt_b12_p12209,5,22,600,-0.009262099327850349,-0.0022620993278503485,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_random,worst_rt_b12_p12209,5,25,600,-0.009672677878834118,-0.0026726778788341175,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_random,worst_rt_b12_p12209,17,22,600,-0.009387151751952622,-0.0023871517519526214,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_random,worst_rt_b12_p12209,17,25,600,-0.009700976355487601,-0.002700976355487601,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_random,worst_rt_b12_p8403,5,22,600,-0.008921619534554335,-0.001921619534554335,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_random,worst_rt_b12_p8403,5,25,600,-0.009160927388205752,-0.0021609273882057514,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_random,worst_rt_b12_p8403,17,22,600,-0.009076963967530122,-0.0020769639675301222,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_random,worst_rt_b12_p8403,17,25,600,-0.009393198245916595,-0.0023931982459165944,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_lo,screen_curated,deepcheck_b12_s8080,5,22,600,-0.005432892829390812,0.0015671071706091881,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_band_lo,screen_curated,deepcheck_b12_s8080,5,25,600,-0.005726569409134042,0.0012734305908659585,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_band_lo,screen_curated,deepcheck_b12_s8080,17,22,600,-0.005333783697612271,0.0016662163023877293,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_band_lo,screen_curated,deepcheck_b12_s8080,17,25,600,-0.00566636279011834,0.0013336372098816602,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_band_lo,screen_curated,stress_b14_s7070,5,22,600,-0.005616751632821837,0.001383248367178163,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_band_lo,screen_curated,stress_b14_s7070,5,25,600,-0.0060481376901954376,0.0009518623098045626,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_band_lo,screen_curated,stress_b14_s7070,17,22,600,-0.004424413944056782,0.0025755860559432183,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_band_lo,screen_curated,stress_b14_s7070,17,25,600,-0.0046065769153085185,0.0023934230846914817,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_band_lo,screen_curated,stress_b30_s10010,5,22,600,-0.0032581115742842943,0.003741888425715706,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_band_lo,screen_curated,stress_b30_s10010,5,25,600,-0.003457161684689891,0.003542838315310109,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_band_lo,screen_curated,stress_b30_s10010,17,22,600,-0.003505168801534336,0.003494831198465664,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_band_lo,screen_curated,stress_b30_s10010,17,25,600,-0.003705687523578927,0.0032943124764210734,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_band_lo,screen_random,worst_rh_b10_p13419,5,22,600,-0.00582997710042375,0.00117002289957625,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_band_lo,screen_random,worst_rh_b10_p13419,5,25,600,-0.006019427550495437,0.0009805724495045628,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_band_lo,screen_random,worst_rh_b10_p13419,17,22,600,-0.006455775890383997,0.0005442241096160032,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_band_lo,screen_random,worst_rh_b10_p13419,17,25,600,-0.006686465605875186,0.00031353439412481424,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_band_lo,screen_random,worst_rt_b10_p7064,5,22,600,-0.0063484370344069835,0.0006515629655930166,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_band_lo,screen_random,worst_rt_b10_p7064,5,25,600,-0.006678409097736798,0.0003215909022632017,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_band_lo,screen_random,worst_rt_b10_p7064,17,22,600,-0.005487011744254932,0.0015129882557450682,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_band_lo,screen_random,worst_rt_b10_p7064,17,25,600,-0.0057168651842188275,0.0012831348157811727,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_band_lo,screen_random,worst_rt_b12_p12209,5,22,600,-0.005792759802724368,0.0012072401972756325,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_band_lo,screen_random,worst_rt_b12_p12209,5,25,600,-0.006098264594541119,0.0009017354054588807,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_band_lo,screen_random,worst_rt_b12_p12209,17,22,600,-0.006505290554296999,0.0004947094457030008,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_band_lo,screen_random,worst_rt_b12_p12209,17,25,600,-0.006784249696469285,0.00021575030353071512,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_band_lo,screen_random,worst_rt_b12_p8403,5,22,600,-0.004997187635617423,0.0020028123643825776,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_band_lo,screen_random,worst_rt_b12_p8403,5,25,600,-0.0051725741077726815,0.0018274258922273186,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_band_lo,screen_random,worst_rt_b12_p8403,17,22,600,-0.006618670481398075,0.000381329518601925,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_band_lo,screen_random,worst_rt_b12_p8403,17,25,600,-0.006891962363522546,0.00010803763647745414,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_pen_hi,screen_curated,deepcheck_b12_s8080,5,22,600,-0.005432892829390812,0.0015671071706091881,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_pen_hi,screen_curated,deepcheck_b12_s8080,5,25,600,-0.005726569409134042,0.0012734305908659585,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_pen_hi,screen_curated,deepcheck_b12_s8080,17,22,600,-0.005333783697612271,0.0016662163023877293,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_pen_hi,screen_curated,deepcheck_b12_s8080,17,25,600,-0.00566636279011834,0.0013336372098816602,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_pen_hi,screen_curated,stress_b14_s7070,5,22,600,-0.005616751632821837,0.001383248367178163,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_pen_hi,screen_curated,stress_b14_s7070,5,25,600,-0.0060481376901954376,0.0009518623098045626,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_pen_hi,screen_curated,stress_b14_s7070,17,22,600,-0.004424413944056782,0.0025755860559432183,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_pen_hi,screen_curated,stress_b14_s7070,17,25,600,-0.0046065769153085185,0.0023934230846914817,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_pen_hi,screen_curated,stress_b30_s10010,5,22,600,-0.0032581115742842943,0.003741888425715706,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_pen_hi,screen_curated,stress_b30_s10010,5,25,600,-0.003457161684689891,0.003542838315310109,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_pen_hi,screen_curated,stress_b30_s10010,17,22,600,-0.003505168801534336,0.003494831198465664,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_pen_hi,screen_curated,stress_b30_s10010,17,25,600,-0.003705687523578927,0.0032943124764210734,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_pen_hi,screen_random,worst_rh_b10_p13419,5,22,600,-0.00582997710042375,0.00117002289957625,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_pen_hi,screen_random,worst_rh_b10_p13419,5,25,600,-0.006019427550495437,0.0009805724495045628,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_pen_hi,screen_random,worst_rh_b10_p13419,17,22,600,-0.006455775890383997,0.0005442241096160032,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_pen_hi,screen_random,worst_rh_b10_p13419,17,25,600,-0.006686465605875186,0.00031353439412481424,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_pen_hi,screen_random,worst_rt_b10_p7064,5,22,600,-0.0063484370344069835,0.0006515629655930166,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_pen_hi,screen_random,worst_rt_b10_p7064,5,25,600,-0.006678409097736798,0.0003215909022632017,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_pen_hi,screen_random,worst_rt_b10_p7064,17,22,600,-0.005487011744254932,0.0015129882557450682,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_pen_hi,screen_random,worst_rt_b10_p7064,17,25,600,-0.0057168651842188275,0.0012831348157811727,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_pen_hi,screen_random,worst_rt_b12_p12209,5,22,600,-0.005792759802724368,0.0012072401972756325,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_pen_hi,screen_random,worst_rt_b12_p12209,5,25,600,-0.006098264594541119,0.0009017354054588807,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_pen_hi,screen_random,worst_rt_b12_p12209,17,22,600,-0.006505290554296999,0.0004947094457030008,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_pen_hi,screen_random,worst_rt_b12_p12209,17,25,600,-0.006784249696469285,0.00021575030353071512,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_pen_hi,screen_random,worst_rt_b12_p8403,5,22,600,-0.004997187635617423,0.0020028123643825776,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25z_pen_hi,screen_random,worst_rt_b12_p8403,5,25,600,-0.0051725741077726815,0.0018274258922273186,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25z_pen_hi,screen_random,worst_rt_b12_p8403,17,22,600,-0.006618670481398075,0.000381329518601925,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
